,latitude,longitude,area,area_name,country_name
0,42.546245,1.601554,ANDORRA,Andorra,ANDORRA
1,23.424076,53.847818,UNITED ARAB EMIRATES,United Arab Emirates,UNITED ARAB EMIRATES
2,33.93911,67.709953,AFGHANISTAN,Afghanistan,AFGHANISTAN
3,17.060816,-61.79642800000001,ANTIGUA AND BARBUDA,Antigua and Barbuda,ANTIGUA AND BARBUDA
4,18.220554,-63.068615,ANGUILLA,Anguilla,ANGUILLA
5,41.153332,20.168331,ALBANIA,Albania,ALBANIA
6,40.069099,45.038189,ARMENIA,Armenia,ARMENIA
7,12.226079,-69.060087,NETHERLANDS ANTILLES,Netherlands Antilles,NETHERLANDS ANTILLES
8,-11.202692,17.873887,ANGOLA,Angola,ANGOLA
9,-75.250973,-0.071389,ANTARCTICA,Antarctica,ANTARCTICA
10,-38.416097,-63.616672,ARGENTINA,Argentina,ARGENTINA
11,-14.270972,-170.132217,AMERICAN SAMOA,American Samoa,AMERICAN SAMOA
12,47.516231,14.550072,AUSTRIA,Austria,AUSTRIA
13,-25.274398,133.775136,AUSTRALIA,Australia,AUSTRALIA
14,12.52111,-69.968338,ARUBA,Aruba,ARUBA
15,40.143105,47.57692700000001,AZERBAIJAN,Azerbaijan,AZERBAIJAN
16,43.915886,17.679076000000006,BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA
17,13.193887,-59.543198,BARBADOS,Barbados,BARBADOS
18,23.684994,90.356331,BANGLADESH,Bangladesh,BANGLADESH
19,50.503887,4.469936,BELGIUM,Belgium,BELGIUM
20,12.238333,-1.561593,BURKINA FASO,Burkina Faso,BURKINA FASO
21,42.733883,25.48583,BULGARIA,Bulgaria,BULGARIA
22,25.930414000000006,50.637772,BAHRAIN,Bahrain,BAHRAIN
23,-3.373056,29.918886,BURUNDI,Burundi,BURUNDI
24,9.30769,2.315834,BENIN,Benin,BENIN
25,32.321384,-64.75737,BERMUDA,Bermuda,BERMUDA
26,4.535277,114.727669,BRUNEI,Brunei,BRUNEI
27,-16.290154,-63.588653,BOLIVIA,Bolivia,BOLIVIA
28,-14.235004,-51.92528,BRAZIL,Brazil,BRAZIL
29,25.03428,-77.39628,BAHAMAS,Bahamas,BAHAMAS
30,27.514162,90.433601,BHUTAN,Bhutan,BHUTAN
31,-54.423199,3.4131940000000003,BOUVET ISLAND,Bouvet Island,BOUVET ISLAND
32,-22.328474,24.684866,BOTSWANA,Botswana,BOTSWANA
33,53.709807,27.953389,BELARUS,Belarus,BELARUS
34,17.189877,-88.49765,BELIZE,Belize,BELIZE
35,56.130366,-106.346771,CANADA,Canada,CANADA
36,-12.164165,96.870956,COCOS [KEELING] ISLANDS,Cocos [Keeling] Islands,COCOS [KEELING] ISLANDS
37,-4.0383330000000015,21.758664000000003,CONGO [DRC],Congo [DRC],CONGO [DRC]
38,6.611111,20.939444,CENTRAL AFRICAN REPUBLIC,Central African Republic,CENTRAL AFRICAN REPUBLIC
39,-0.228021,15.827659,CONGO [REPUBLIC],Congo [Republic],CONGO [REPUBLIC]
40,46.818188,8.227511999999999,SWITZERLAND,Switzerland,SWITZERLAND
41,7.539989,-5.54708,C?TE D'IVOIRE,C?te d'Ivoire,C?TE D'IVOIRE
42,-21.236736,-159.777671,COOK ISLANDS,Cook Islands,COOK ISLANDS
43,-35.675147,-71.542969,CHILE,Chile,CHILE
44,7.369722,12.354722,CAMEROON,Cameroon,CAMEROON
45,35.86166,104.195397,CHINA,China,CHINA
46,4.570868,-74.297333,COLOMBIA,Colombia,COLOMBIA
47,9.748917,-83.753428,COSTA RICA,Costa Rica,COSTA RICA
48,21.521757,-77.78116700000002,CUBA,Cuba,CUBA
49,16.002082,-24.013197,CAPE VERDE,Cape Verde,CAPE VERDE
50,-10.447525,105.690449,CHRISTMAS ISLAND,Christmas Island,CHRISTMAS ISLAND
51,35.126413,33.429859,CYPRUS,Cyprus,CYPRUS
52,49.817492,15.472962,CZECH REPUBLIC,Czech Republic,CZECH REPUBLIC
53,51.165691,10.451526,GERMANY,Germany,GERMANY
54,11.825138,42.590275,DJIBOUTI,Djibouti,DJIBOUTI
55,56.26392,9.501785,DENMARK,Denmark,DENMARK
56,15.414999,-61.370976,DOMINICA,Dominica,DOMINICA
