,all_reports,area,area_name,country_name,latitude,longitude,mental_scale,safety_change,safety_level,upper,work_situation
0,2,AL,St Albans,,51.7755,-0.283795,1,0,0,ST ALBANS,0
1,1,AUSTRALIA,,,,,0,0,0,,0
2,2,B,Birmingham,,52.4651,-1.88864,0,0,0,BIRMINGHAM,1
3,1,BD,Bradford,,53.8288,-1.82887,0,0,1,BRADFORD,0
4,4,BN,Brighton,,50.8289,-0.11955,1,0,0,BRIGHTON,0
5,3,BR,Bromley,,51.3944,0.0424589,0,0,0,BROMLEY,0
6,3,BS,Bristol,,51.4489,-2.62239,2,0,0,BRISTOL,1
7,1,CA,Carlisle,,54.7318,-3.10828,1,0,0,CARLISLE,0
8,2,CB,Cambridge,,52.2067,0.189054,1,0,0,CAMBRIDGE,0
9,5,CF,Cardiff,,51.5343,-3.29374,2,1,0,CARDIFF,0
10,3,CH,Chester,,53.2905,-3.02015,1,0,0,CHESTER,0
11,4,CM,Chelmsford,,51.7583,0.403764,1,1,1,CHELMSFORD,0
12,1,CO,Colchester,,51.9029,0.924492,0,0,0,COLCHESTER,0
13,10,CR,Croydon,,51.356,-0.103301,3,2,0,CROYDON,2
14,6,CT,Canterbury,,51.2555,1.2316,3,0,0,CANTERBURY,1
15,3,CV,Coventry,,52.3671,-1.50128,1,1,0,COVENTRY,0
16,2,DA,Dartford,,51.4422,0.220719,0,0,0,DARTFORD,0
17,1,DH,Durham,,54.825,-1.61387,1,0,0,DURHAM,0
18,1,DN,Doncaster,,53.5411,-0.720631,0,0,0,DONCASTER,0
19,1,DT,Dorchester,,50.7546,-2.48288,1,0,0,DORCHESTER,0
20,1,DY,Dudley,,52.4536,-2.17685,0,0,0,DUDLEY,0
21,20,E,East London,,51.5434,-0.0158165,7,1,2,EAST LONDON,3
22,1,EC,Central London,,51.5188,-0.0967554,0,1,0,CENTRAL LONDON,0
23,1,EN,Enfield,,51.6817,-0.08640489999999999,0,0,0,ENFIELD,0
24,1,EX,Exeter,,50.8269,-3.65629,1,0,0,EXETER,1
25,1,FK,Falkirk and Stirling,,56.0772,-3.85937,0,0,0,FALKIRK AND STIRLING,0
26,1,FRANCE,,,,,0,0,0,,0
27,3,G,Glasgow,,55.8688,-4.26823,1,0,0,GLASGOW,0
28,2,GU,Guildford,,51.2314,-0.717471,1,0,0,GUILDFORD,0
29,1,HA,Harrow,,51.5853,-0.336045,1,1,1,HARROW,0
30,1,HG,Harrogate,,54.0371,-1.54611,0,0,0,HARROGATE,0
31,2,IG,Ilford,,51.584,0.07184310000000001,0,0,0,ILFORD,0
32,1,IP,Ipswich,,52.195,1.0831,1,1,0,IPSWICH,0
33,1,KT,Kingston upon Thames,,51.36,-0.34317800000000004,1,1,0,KINGSTON UPON THAMES,0
34,2,L,Liverpool,,53.4158,-2.96295,1,1,1,LIVERPOOL,1
35,7,LE,Leicester,,52.6442,-1.14855,0,0,0,LEICESTER,0
36,1,LL,Llandudno,,53.1333,-3.71608,1,0,0,LLANDUDNO,0
37,1,LS,Leeds,,53.8227,-1.55309,0,0,0,LEEDS,0
38,1,LU,Luton,,51.8965,-0.509605,1,0,0,LUTON,0
39,6,M,Manchester,,53.4787,-2.27172,2,0,0,MANCHESTER,1
40,2,ME,Rochester,,51.3338,0.584378,0,0,0,ROCHESTER,0
41,4,MK,Milton Keynes,,52.0623,-0.66594,2,0,0,MILTON KEYNES,0
42,20,N,North London,,51.5853,-0.114104,9,3,1,NORTH LONDON,1
43,4,NG,Nottingham,,53.0055,-1.07239,1,1,0,NOTTINGHAM,0
44,1,NN,Northampton,,52.2888,-0.841144,0,0,0,NORTHAMPTON,0
45,1,NP,Newport,,51.6729,-3.01599,0,0,0,NEWPORT,0
46,1,NR,Norwich,,52.6461,1.34034,0,0,0,NORWICH,0
