,area,area_name,country_name,latitude,longitude,safety_level,upper
5,BD,Bradford,,53.8288,-1.82887,1,BRADFORD
17,CM,Chelmsford,,51.7583,0.403764,1,CHELMSFORD
32,E,East London,,51.5434,-0.0158165,2,EAST LONDON
42,HA,Harrow,,51.5853,-0.336045,1,HARROW
57,L,Liverpool,,53.4158,-2.96295,1,LIVERPOOL
69,N,North London,,51.5853,-0.114104,1,NORTH LONDON
77,OX,Oxford,,51.7957,-1.2906,1,OXFORD
93,SM,Sutton,,51.3628,-0.184529,1,SUTTON
100,SW,South West London,,51.4641,-0.167506,1,SOUTH WEST LONDON
104,TF,Telford,,52.7131,-2.46186,1,TELFORD
71,FRANCE,France,FRANCE,46.227638,2.213749,3,
53,GERMANY,Germany,GERMANY,51.165690999999995,10.451526,1,
106,ITALY,Italy,ITALY,41.87194,12.56738,1,
174,POLAND,Poland,POLAND,51.919438,19.145135999999997,1,
193,SINGAPORE,Singapore,SINGAPORE,1.352083,103.819836,1,
