,gender,mental_health,order,x,y,testimonials_short,display_testimonial
0,Man,0,1,38,0,0,0
1,Man,1,1,44,0,0,0
2,Man,1,1,45,0,0,0
3,Man,2,1,50,0,0,0
4,Man,2,1,51,0,0,0
5,Man,2,1,52,0,0,0
6,Man,2,1,53,0,0,0
7,Man,2,1,54,0,0,0
8,Man,3,1,56,0,0,0
9,Man,3,1,57,0,0,0
10,Man,3,1,58,0,0,0
11,Man,3,1,59,0,0,0
12,Man,3,1,60,0,0,0
13,Man,3,1,56,1,0,0
14,Man,3,1,57,1,0,0
15,Man,3,1,58,1,0,0
16,Man,3,1,59,1,0,0
17,Man,3,1,60,1,0,0
18,Man,3,1,56,2,0,0
19,Man,3,1,57,2,0,0
20,Man,3,1,58,2,0,0
21,Man,3,1,59,2,0,0
22,Man,4,1,62,0,0,0
23,Man,4,1,63,0,0,0
24,Man,4,1,64,0,0,0
25,Man,4,1,65,0,0,0
26,Man,4,1,66,0,0,0
27,Man,4,1,62,1,0,0
28,Man,4,1,63,1,0,0
29,Man,4,1,64,1,0,0
30,Man,4,1,65,1,0,0
31,Man,4,1,66,1,0,0
32,Man,4,1,62,2,0,0
33,Man,4,1,63,2,0,0
34,Man,4,1,64,2,0,0
35,Man,4,1,65,2,0,0
36,Man,4,1,66,2,0,0
37,Man,4,1,62,3,0,0
38,Man,4,1,63,3,0,0
39,Man,4,1,64,3,0,0
40,Man,4,1,65,3,0,0
41,Man,4,1,66,3,0,0
42,Man,4,1,62,4,0,0
43,Man,4,1,63,4,0,0
44,Man,5,1,68,0,0,0
45,Man,5,1,69,0,0,0
46,Man,5,1,70,0,0,0
47,Man,5,1,71,0,0,0
48,Man,5,1,72,0,0,0
49,Man,5,1,68,1,0,0
50,Man,5,1,69,1,0,0
51,Man,5,1,70,1,0,0
52,Man,5,1,71,1,0,0
53,Man,5,1,72,1,0,0
54,Man,5,1,68,2,0,0
55,Man,5,1,69,2,0,0
56,Man,5,1,70,2,0,0
57,Man,5,1,71,2,0,0
58,Man,5,1,72,2,0,0
59,Man,5,1,68,3,0,0
60,Man,5,1,69,3,0,0
61,Woman,0,0,0,0,0,0
62,Woman,0,0,1,0,0,0
63,Woman,0,0,2,0,0,0
64,Woman,0,0,3,0,0,0
65,Woman,0,0,4,0,0,0
66,Woman,0,0,0,1,0,0
67,Woman,0,0,1,1,0,0
68,Woman,0,0,2,1,0,0
69,Woman,0,0,3,1,0,0
70,Woman,0,0,4,1,0,0
