,date_of_report,postal_code,first_time_experience,aggressor,display_testimonial,written_report
0,27/05/2020 10:16 AM,CR2 6XH,no,father-in-law,0,wf8hoxauo41ad50h9wst6f3sjpg2
1,25/05/2020 02:54 AM,SW1 3RN,no,father,1,07svcbdesr9p0k
2,24/05/2020 07:28 AM,X,yes,father,0,ouavqzf4jojfu8qe
3,24/05/2020 07:30 AM,SW1V 4DG,yes,brother,0,5mmbx8ppamkc3vrhlarh8w
4,29/04/2020 09:37 PM,M1 1AE,yes,partner,0,his61ev2t6bivwpu7eo90m68hdxrj3m51tdgr
5,23/05/2020 12:50 AM,B7 4NG,yes,partner,0,x8tn4d915he6wteqsrnndpc0lc8jx77ofgp2gptl
6,13/05/2020 04:58 PM,nan,yes,partner,0,x2
7,30/05/2020 10:12 AM,EC1A 1BB,yes,brother,0,2bfr4iun8gni6unmpt
8,15/05/2020 10:52 PM,X,no,partner,0,hdmraom7oibx1ao26m5btqqy0kka49
9,25/05/2020 12:37 AM,W1A 0AX,no,partner,0,hq6m1nmw
10,22/05/2020 07:46 PM,DN55 1PT,yes,brother,0,l0i1nkwji7i9dt1zc
11,29/05/2020 03:46 AM,nan,yes,brother,0,lczldimajyayh9zp2txxf5ay3pgas
12,22/04/2020 06:10 AM,SW1V 4DG,yes,father-in-law,0,00dgweoc2dq1nlfqnx0e9bhx
13,18/05/2020 02:48 PM,CR2 6XH,no,brother,0,nd2b2eucbmpg36r94n8pso5k5xxyth64v2oy0r5s48oj
14,24/05/2020 10:07 AM,DN55 1PT,no,brother,0,udxymp
15,24/05/2020 06:42 AM,W1A 0AX,yes,father-in-law,0,2e2r35h3pskxkeg6lwu6l
16,23/04/2020 11:30 PM,EC1A 1BB,no,father,0,4p05uzjhiu4xwxobstetmw3lgd1a3pue
17,31/05/2020 01:22 PM,SE1 8XX,no,partner,0,z90foo7t
18,17/04/2020 03:00 PM,EC1A 1BB,yes,father-in-law,0,x7mt7eyztm7o33labu0s2130lfpgpgxh26bj8mrgir6j6xugj
19,21/05/2020 02:33 AM,X,yes,father-in-law,0,sx5ug6h1zamxlb6680ha
20,31/05/2020 02:16 PM,B33 8TH,yes,father,0,7wks
21,31/05/2020 09:13 PM,CR2 6XH,no,father-in-law,0,hntzgvssuex9mlnlwrt05ktl3raovc
22,29/05/2020 02:42 AM,EC1A 1BB,yes,father-in-law,0,0ak0taw7lnavfhf7k7dvrm1ro2yjfv49qgkp
23,30/05/2020 10:39 AM,SE1 8XX,no,father,0,ods3l6xxjwix4jyac
24,27/05/2020 06:19 AM,B7 4NG,no,father,0,2e553u6nq1x3rtlw11ihbbjjbxb4bm0o8fehwcq
25,29/04/2020 10:23 AM,SW1V 4DG,no,brother,0,r8yjspdshjccm627b3wnoph4
26,27/04/2020 06:35 AM,CR2 6XH,no,brother,0,0f1e0w8qi
27,18/05/2020 03:51 AM,B7 4NG,yes,father,0,1iwpulrtb6ov8cmu97wn5d6ng80h6yfd1lor9ryu26oafysi
