,live_alone,live_friends,live_partner,live_parents,live_siblings,live_otherfamily,live_children,live_other,housework_amount,living_category,housework_mapped,living_category_var_names,living_category_var_names_emojis
1,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
2,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
3,0,0,0,1,0,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
4,0,1,0,0,0,0,0,0,I take care of most of the housework,friends_only,0,...friends,Friends 🎲🏘🍷
5,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
6,0,0,0,1,0,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
7,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
8,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
9,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
10,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
11,0,0,1,0,0,1,1,0,We share it equally,0,1,Other,Other 🦄
12,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
13,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
14,0,0,1,0,0,0,1,0,I do less housework than others,live_with_partner_and_children_only,2,... partner and children,partner and children 🧒👭👶
15,0,0,0,0,0,0,1,0,We share it equally,live_with_children_only,1,.. alone <br> with children,children 👶🧸
17,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
18,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
19,0,0,0,0,1,1,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
20,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
21,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
22,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
23,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
24,0,1,1,0,0,0,0,0,I take care of most of the housework,0,0,Other,Other 🦄
25,0,0,0,0,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
26,0,0,0,0,0,1,0,0,I take care of all the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
27,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
28,0,0,0,0,0,1,0,0,I take care of all the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
29,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
30,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
31,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
32,0,0,0,0,0,0,1,0,I take care of most of the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
33,0,0,1,1,0,1,1,0,I am not doing any housework,0,2,Other,Other 🦄
34,0,0,1,0,0,0,1,0,I am not doing any housework,live_with_partner_and_children_only,2,... partner and children,partner and children 🧒👭👶
35,0,0,0,0,0,0,1,0,I do less housework than others,live_with_children_only,2,.. alone <br> with children,children 👶🧸
36,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
37,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
38,0,0,1,1,1,0,1,0,We share it equally,0,1,Other,Other 🦄
40,0,0,1,1,0,0,1,0,I do less housework than others,0,2,Other,Other 🦄
