postal_code,date_of_report,first_time_exprience,aggressor,written_report
SW1 3RN,05/04/2020,yes,partner,"""Lorum Ipsum"""
SW1V 4DG,05/04/2020,yes,partner,"""Lorum Ipsum"""
SW1V 4DG,05/04/2020,yes,partner,"""Lorum Ipsum"""
SW1V 4DG,05/04/2020,no,partner,"""Lorum Ipsum"""
SW1V 4DG,05/04/2020,no,partner,"""Lorum Ipsum"""
SE1 8XX,05/04/2020,no,partner,"""Lorum Ipsum"""
SE1 8XX,05/04/2020,no,partner,"""Lorum Ipsum"""
SE1 8XX,05/04/2020,no,partner,"""Lorum Ipsum"""
SE1 8XX,05/04/2020,yes,partner,"""Lorum Ipsum"""
SE1 8XX,05/04/2020,yes,partner,"""Lorum Ipsum"""
SE1 8XX,06/04/2020,yes,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
B7 4NG,06/04/2020,no,partner,"""Lorum Ipsum"""
