,date_of_report,postal_code,first_time_experience,aggressor,written_report
0,10/04/2020 02:55 PM,nan,yes,brother,2i6hfq
1,05/05/2020 02:28 PM,DN55 1PT,no,father,kfnz4o5
2,19/05/2020 03:32 AM,M1 1AE,yes,brother,497xbq3dbvo
3,23/04/2020 04:59 PM,EC1A 1BB,no,partner,4hd6jmftcfke0sz1on4rjqkhmjy
4,20/05/2020 06:37 AM,SW1V 4DG,no,brother,y1
5,14/04/2020 06:42 PM,SW1V 4DG,yes,brother,cf2oqc3cwrnz41hdmixkzfq6m4vgq8asoxyfov1j
6,16/04/2020 01:36 PM,SW1 3RN,yes,father,cnx3070b8e7yj4iea3
7,09/04/2020 05:26 PM,SE1 8XX,no,partner,82t7p9pshk8q22kri
8,09/04/2020 05:40 AM,B7 4NG,no,father-in-law,puyh2l7tbfyiissjvdx7cz
9,13/04/2020 06:59 PM,nan,yes,father-in-law,0yoix8qecnn719nyo3b8bue
10,27/04/2020 05:47 PM,M1 1AE,yes,father-in-law,48nt86ngid4ugpk6jxcul2u0546d7d1nbg21
11,27/04/2020 07:04 PM,B7 4NG,yes,father,aurl5d0sv7fdhofrs5t3ndwgx2hfwlv455o6
12,17/05/2020 11:44 PM,EC1A 1BB,no,partner,n1cvc
13,16/04/2020 02:57 PM,W1A 0AX,no,partner,56znz1fje6x80n1tf
14,25/05/2020 08:44 AM,CR2 6XH,no,brother,rir0rlx7qjikpw1cprss0bgz6jonqen364gx8pbftiin5
15,16/04/2020 12:36 PM,M1 1AE,no,brother,3xzlgaq71fofqkmdxb342dx67co3n1apglsbegi1k
16,18/05/2020 04:55 AM,B7 4NG,yes,partner,zz9mrdn
17,22/05/2020 01:01 AM,SW1 3RN,yes,partner,i5gd7x0uj4m297av8l5wwdmi0ln3xmn5zkludrob
18,27/05/2020 06:28 PM,X,yes,brother,3ehg3c239rh0mac9kjd
19,29/05/2020 06:58 AM,CR2 6XH,no,brother,6g5aav5ah13owuivapxlkwrf
20,14/05/2020 09:17 AM,DN55 1PT,yes,father,aup4wne
21,19/04/2020 01:46 AM,CR2 6XH,yes,partner,q8jtg3coiyr7b7
22,29/04/2020 04:25 PM,B7 4NG,yes,father,83pv6
23,13/05/2020 05:35 AM,M1 1AE,yes,father,4uifdun1dmgo2aguknp79ui1mt
24,26/04/2020 06:33 PM,SE1 8XX,yes,partner,4lbv788rgvcb7lxzqf9kxd00y138ggx3dc316yy6z
25,23/05/2020 10:26 PM,SW1V 4DG,no,brother,frnraoc19arvg982efl32isivig8j26tkpcog10x6
26,14/04/2020 03:34 AM,X,yes,father,dtxxphhebedf2pcvtipbwtmajpe2x0yxmi
27,11/04/2020 12:54 AM,B33 8TH,yes,father-in-law,pp6uul523jiwvb5ue250g6zdok5ajdaw0csxlms7zl
28,31/05/2020 04:12 AM,CR2 6XH,no,brother,vk4r9a5l
29,09/04/2020 08:19 AM,SE1 8XX,yes,brother,4lv0f7w5pw7n34eyk1b2msglvbogva
30,15/04/2020 01:41 AM,B7 4NG,no,father-in-law,1qwc29sptmgnt1zosk9417j2594js
31,14/05/2020 08:16 PM,CR2 6XH,yes,father,buadkii92h93dfjy6y2twplq6c9xzdfx4n9ciswnt09k0
32,18/05/2020 02:46 PM,B7 4NG,no,father,l1zcqpx6e5twial8hpqrjovn8408
33,22/04/2020 05:50 AM,SW1V 4DG,yes,brother,iek49hqryppbnhqa2yj2xquveb2b75n1jqn5ckdrq8nk
34,24/04/2020 01:19 PM,B33 8TH,no,father,f2uppd8b2
35,30/04/2020 06:11 PM,EC1A 1BB,yes,brother,82qmak1m3wld8vye4rkvqma8xbdx2cb53557by
36,15/04/2020 12:15 PM,B33 8TH,no,partner,ra9ql607kgfbw97iu6dx
37,30/04/2020 06:08 AM,EC1A 1BB,yes,brother,tkpasfyejm8fyc8xak13ez49bgto7j
38,22/05/2020 01:45 AM,nan,no,brother,6kegiilty9j4k6ajhg5mwx2832bqhfqmbo2c9thtnwdwyd0t
39,13/05/2020 10:08 PM,M1 1AE,no,brother,nmkerb0x14yvw9qg3bjac409cacaov9
40,24/05/2020 07:08 AM,SW1V 4DG,yes,father-in-law,
41,26/04/2020 03:37 AM,SW1V 4DG,no,partner,gm3zcbfq0bxd5
42,26/04/2020 04:48 AM,B33 8TH,yes,partner,33
43,27/05/2020 05:19 AM,CR2 6XH,no,brother,80aec7xuu40xnbux4ak28usoj7037ai7eiiir5216
44,24/05/2020 01:30 AM,X,yes,brother,l7zx5h6m2xxqjmwh2u65168ovk3bsjtcr87e
45,28/04/2020 12:08 AM,M1 1AE,no,partner,go7u7wfkq7
46,16/05/2020 04:04 PM,SW1V 4DG,no,father-in-law,5ymhdnnmlkpg
47,18/04/2020 04:27 PM,X,no,father,t
48,25/05/2020 08:34 AM,CR2 6XH,yes,father-in-law,17jxf5kra6sbxh4jw5uvq2rjffymdh43av9lmu8sdfl173ubl9
49,02/05/2020 06:31 PM,B33 8TH,yes,brother,a3
50,09/04/2020 10:08 PM,B33 8TH,yes,father-in-law,h60n3oqehv15g7r1mf2xh26lc5gdy8vbbei3t5u1zs244jl4e
51,16/05/2020 10:56 AM,B7 4NG,no,partner,zeez5th2xwfojz2q1ejemwlyfk0ax6mdop1sk9cxqs
52,16/05/2020 07:20 PM,B33 8TH,yes,partner,szl3ctzut
53,16/05/2020 01:09 AM,DN55 1PT,no,father,nv0xciufyf0og757ehzheohsy
54,01/05/2020 03:30 AM,EC1A 1BB,yes,father-in-law,p5b4vnayvx1
55,14/05/2020 08:19 PM,SE1 8XX,yes,partner,be085jh0z0bepl4
56,15/05/2020 12:59 PM,B33 8TH,no,father,m2knoiiomq02a1bljrzlauwclzika8i0u5e0sps7iq
57,13/04/2020 08:17 AM,SW1 3RN,no,partner,xvcttwtq9
58,31/05/2020 10:21 AM,W1A 0AX,no,partner,lb82gm25tpqrtizzz8ei5fazs1djoa58rn7dz3cmgw
59,27/04/2020 09:04 PM,X,no,father-in-law,y6s6v01ryg4dvmtxmng5g
60,02/05/2020 11:23 AM,B7 4NG,yes,father,uyzwn3vz310l922qi8toma8r1muy9
61,09/04/2020 06:17 PM,EC1A 1BB,no,father,iydpj7eg7ahn0xic5zgdx
62,30/04/2020 01:16 AM,B7 4NG,no,partner,uxz2832jk2vf09bwhd2askplpzbdvciq7m5hlnl5m
63,06/05/2020 08:07 PM,SW1 3RN,no,father-in-law,h9abla84g121mas
64,20/04/2020 10:05 AM,DN55 1PT,no,partner,3dm00zv6
65,20/05/2020 06:07 AM,CR2 6XH,yes,father-in-law,qi04btxgn00o4k2jgeavt9pz79uzf6wk7apa8coo4hvvucl2
66,14/04/2020 02:13 AM,M1 1AE,yes,partner,pk6i23oisg0kq96u8i6e
67,29/04/2020 06:00 AM,SW1V 4DG,no,brother,yiy8djin57kpezt1aposu0g2
68,11/05/2020 10:50 AM,B33 8TH,no,brother,q3d3t746r0eqgkkrjnmr8775fz
69,20/05/2020 12:55 PM,DN55 1PT,yes,father,2jozcmphsoyb52czq4r57m3a1yutk5m09rbdv5qbtxmjcxp1
70,27/05/2020 06:26 AM,W1A 0AX,no,partner,l8eyugara6gd87lodymj4equo3nqk6ah
71,27/05/2020 09:58 PM,SW1V 4DG,yes,brother,wjm1cm0k5om5baa6w4gp72o7vjpvmn4y7pbte5
72,20/04/2020 02:31 AM,SE1 8XX,no,brother,0f8g4yeqwv582yt782il7xmfl2egrk9yw2wcfvuar87i6d7ym
73,22/04/2020 01:52 AM,SW1 3RN,no,brother,u
74,01/05/2020 06:28 PM,DN55 1PT,yes,father,echzqund6bqcinq5uk5rgub378nbkhmz4kffd8
75,28/04/2020 09:33 AM,B7 4NG,yes,partner,mbz2c9by
76,30/04/2020 03:58 PM,SE1 8XX,no,partner,ybxf33qrrix7d6z3suua29zv2i7va1yohtze68o0z9lq
77,16/05/2020 04:55 PM,W1A 0AX,no,father-in-law,vz87imfv178r419ilk7z3ed8syn4l3
78,24/05/2020 12:31 AM,SW1V 4DG,no,partner,n2n7t1
79,30/05/2020 09:07 PM,SW1 3RN,yes,partner,o3pxbsocoy1ve37hcjkl8uaqlsje70zvm5sjkgzslpht0gk
80,28/04/2020 12:52 AM,M1 1AE,no,father,om7hoy1be5m
81,26/04/2020 11:52 PM,DN55 1PT,no,father,rsy9zlpagql90cu84gu8al5stoiu4rvpl
82,26/05/2020 11:42 PM,SW1 3RN,no,father-in-law,x0e367gbaoopq3y1a52zw277xgs
83,28/04/2020 12:18 PM,DN55 1PT,yes,father,1raxtb5gg
84,10/04/2020 09:23 PM,B33 8TH,no,father-in-law,o9o1vvzricl548hqa9gezgymizd31f1yfr0jnsd8yyq
85,19/04/2020 01:11 AM,B7 4NG,no,brother,7nh1vj3y2aol75j8odg0l8mq5otpt6poy491oczbbrme
86,10/05/2020 02:07 PM,W1A 0AX,no,father-in-law,b6hxnb5nd1vf18ca66hg6z4ozbuahxept50jfwxz
87,15/04/2020 03:33 PM,W1A 0AX,no,father-in-law,rb1xnh8gkxez8ganejezpqaaiqbmfk1c2duk
88,18/04/2020 04:30 PM,B33 8TH,no,father-in-law,6
89,30/05/2020 04:48 AM,X,yes,father,440frrbb85xwayup1v99576y22plb92j3d0yqrlrukanl3
90,19/05/2020 11:34 PM,B33 8TH,yes,brother,svu2wip613frstsicx50usoa4554c33zuid
91,01/05/2020 03:41 AM,SW1V 4DG,yes,partner,lbi
92,12/04/2020 11:21 PM,SW1V 4DG,no,father,ep3gzujytbig8q4epg60g5zrzxd6z2zk59its
93,10/04/2020 08:49 PM,SW1 3RN,no,father-in-law,xk0wudrmm2peyhrswi3il0fjs100040anh4a60l302wz
94,27/05/2020 07:01 PM,B7 4NG,no,brother,z1yzbej5jkptg9ao6ioqhz9ugcxlorcthri7e33f
95,01/05/2020 11:05 PM,nan,yes,partner,vyv7s16alh2vk3htdcig90c0x6eds84djjqa0g
96,30/05/2020 01:47 PM,EC1A 1BB,yes,father-in-law,n924
97,27/05/2020 09:32 PM,B7 4NG,no,brother,np23h0x1lzeov1d8kia0bju6ao9u0feafi3n48am0xl
98,15/05/2020 11:42 PM,W1A 0AX,yes,father,kot8y9iy2x9a3
99,10/04/2020 11:12 AM,B33 8TH,no,father,nf
100,14/05/2020 09:47 PM,X,yes,father-in-law,o0r3t7ge
101,23/05/2020 06:22 AM,SE1 8XX,no,brother,8gows1ihwz0t
102,20/05/2020 02:22 PM,EC1A 1BB,yes,brother,544rbvb34xuhf3zh193up1uyt12yxodklg
103,18/05/2020 03:44 PM,EC1A 1BB,no,partner,4yxop26cd65o1ntktswa0calq0xo
104,28/05/2020 06:50 AM,W1A 0AX,no,partner,k0da7sw5kkyf9qwwdsxzpk
105,26/04/2020 07:34 PM,B33 8TH,yes,brother,9op2yqxqmpejws3282cttfuyaqc2t4ixmbd7ni2pr3oz81fyy
106,20/05/2020 05:09 AM,B7 4NG,no,brother,1f5z1a
107,13/05/2020 01:01 PM,M1 1AE,yes,brother,j
108,28/05/2020 09:24 PM,EC1A 1BB,yes,brother,qzw4ispgiv3594
109,16/05/2020 05:49 AM,X,yes,brother,ahd6kih2bm
110,14/04/2020 06:20 AM,M1 1AE,no,father,yu4hs4tmr852o87uj4yg0n9sebt1l8fyb9x0yt2viw3
111,15/05/2020 04:20 AM,EC1A 1BB,yes,partner,3zivewdiwqixw8w8k3xt7sz6gjqc
112,11/05/2020 10:27 AM,SE1 8XX,yes,father,7
113,16/04/2020 03:20 PM,W1A 0AX,no,father-in-law,usac26j1krs
114,24/05/2020 12:51 PM,SE1 8XX,no,father,76o9w
115,21/04/2020 10:11 AM,SW1 3RN,yes,brother,vq9zhlnxics8vbqx19b9phc
116,24/04/2020 09:48 AM,SE1 8XX,no,father-in-law,97fbrzcoyxmf0om7oo3evfd7uv31e7ov5ncz0v3rxlk0mlkegy
117,10/05/2020 01:41 AM,SW1 3RN,no,father,cv2
118,13/04/2020 01:40 AM,nan,no,partner,pncdahpfoknherh1m0eal2cjcgkzxrw8
119,18/05/2020 05:08 AM,B33 8TH,no,partner,1tm8qrq7otq35kccvrjamx7brh0hzs
120,23/04/2020 03:39 AM,SE1 8XX,no,father-in-law,5jlgo16atzbd7bex38v916ls5
121,21/04/2020 10:33 AM,EC1A 1BB,no,partner,chaowsjsiybni9lv2f7i8x2dhy6k4fso49f5e09
122,09/05/2020 08:52 AM,CR2 6XH,yes,brother,pli9m5se
123,06/05/2020 02:16 AM,SW1 3RN,yes,brother,w6zuqk1hbwrixhrz2irw5
124,09/05/2020 01:46 PM,X,yes,father,13ohmnemdbcxldkj2ekpp2byiytjbcgd2irsa4bp69a
125,22/05/2020 07:24 PM,B7 4NG,yes,partner,fg1kg1wr07vypljh0b1w5i1glmuqggqqkqk4ge9
126,31/05/2020 02:44 PM,SE1 8XX,no,father-in-law,o19mnrukorhsgz
127,10/04/2020 06:57 PM,EC1A 1BB,no,father-in-law,66vo0tnn5xjqx6
128,22/04/2020 09:29 AM,DN55 1PT,yes,partner,zu4kkqvbigv41
129,18/05/2020 01:11 AM,W1A 0AX,no,partner,x0fh0jh46ide7uy5pq9xcm3duxipw236ehsk4vcge5tvdp11dj
130,22/05/2020 05:10 AM,B7 4NG,yes,father-in-law,kvlywyoi177hmtkq3ejxfbu10b7yp8gsav2jah
131,02/05/2020 09:53 PM,B33 8TH,no,brother,yncm7h7tqwipv8qzik34ntpqp4sby6qxeolu2g77f7ozu8ie8j
132,25/05/2020 12:41 AM,B7 4NG,no,brother,tfu26fxk57fubh2eii1j9n6478u4k32olafrl
133,24/05/2020 06:08 PM,M1 1AE,yes,father-in-law,jfva930nzfarzjf6nyxyw4gpbf4sdu7b
